day	week	cnt
1	3	68
2	4	64
3	5	3263
4	6	5343
5	7	4602
6	1	3346
7	2	3405
8	3	3516
9	4	3736
10	5	3150
11	6	2128
12	1	2348
13	2	1640
14	3	1156
15	4	2704
16	5	2386
17	6	1607
18	7	249
19	1	3771
20	2	5964
21	3	2716
22	4	896
23	5	1962
24	6	3428
25	1	2537
26	2	2700
27	3	2447
28	4	1640
29	5	1276
30	6	209
31	7	51
32	1	2460
33	2	3608
34	3	2881
35	4	2302
36	5	1652
37	4	604
38	5	604
39	6	2815
40	7	1419
41	1	1656
42	2	4163
43	3	4059
44	4	3590
45	5	2998
46	6	1832
47	1	761
48	2	1343
49	3	2897
50	4	2936
51	5	2547
52	6	1157
53	1	1863
54	2	2392
55	3	2174
56	4	1963
57	5	1552
58	6	428
59	7	117
60	1	1673
61	2	1906
62	3	1912
63	4	1537
64	5	1191
65	6	977
66	1	1529
67	2	1075
68	3	1926
69	4	1824
70	5	1615
71	6	1382
72	1	1513
73	2	1101
74	3	177
75	4	1584
76	5	1567
77	6	1530
78	7	407
79	1	1763
80	2	1487
81	3	1367
82	4	413
83	5	598
84	6	27
85	7	900
86	1	1784
87	2	1889
88	3	1540
89	4	1422
90	5	1497
91	6	1141
92	1	518
93	2	1038
94	3	1811
95	4	1620
96	5	1464
97	6	984
98	7	486
99	1	1537
100	2	984
101	3	328
102	4	744
103	5	1976
104	6	2059
105	7	1224
106	1	61
107	4	496
108	5	1929
109	6	1273
110	1	1619
111	2	2143
112	3	1978
113	4	1602
114	5	1456
115	6	816
116	7	290
117	1	894
118	2	1407
119	3	1983
120	4	1454
121	5	1859
122	6	944
123	1	1447
124	2	1422
125	3	781
126	4	659
127	5	2104
128	6	1489
129	1	1499
130	2	1524
131	3	1102
132	4	1501
133	5	1652
134	6	792
135	7	360
136	1	1205
137	2	1670
138	3	2484
139	4	2190
140	5	754
141	6	1856
142	7	2485
143	1	1663
144	4	2120
145	5	1724
146	6	937
147	7	261
148	1	1934
149	2	700
150	3	1914
151	4	2434
152	5	2304
153	6	1193
154	7	726
155	1	1258
156	2	1676
157	3	1183
158	4	1421
159	5	2214
160	6	1402
161	1	4520
162	2	3626
163	3	2088
164	4	1789
165	5	541
166	6	1072
167	7	278
168	1	1848
169	2	1802
170	3	1658
171	4	1414
172	5	1443
173	6	676
174	7	32
175	1	545
176	2	2374
